City,Avg Temperature,Total Cond Hours,Date,Hours Start,Hours End,Hours Count,Daily Avg Temp,Daily Cond Hours
ABUDHABI,34.27275,35,2022-05-26,9,19,11,34.818,11
ABUDHABI,34.27275,35,2022-05-27,9,19,11,34.455,11
ABUDHABI,34.27275,35,2022-05-28,9,19,11,33.818,11
ABUDHABI,34.27275,35,2022-05-29,9,10,2,34.0,2
ABUDHABI,34.27275,35,2022-05-30,0,0,0,0.0,0
CAIRO,33.394,33,2022-05-26,9,19,11,32.545,11
CAIRO,33.394,33,2022-05-27,9,19,11,33.182,11
CAIRO,33.394,33,2022-05-28,9,19,11,34.455,11
CAIRO,33.394,33,2022-05-29,0,0,0,0.0,0
CAIRO,33.394,33,2022-05-30,0,0,0,0.0,0
BEIJING,31.6325,39,2022-05-26,9,19,11,31.818,11
BEIJING,31.6325,39,2022-05-27,9,19,11,32.727,11
BEIJING,31.6325,39,2022-05-28,9,19,11,33.818,11
BEIJING,31.6325,39,2022-05-29,9,14,6,28.167,6
BEIJING,31.6325,39,2022-05-30,0,0,0,0.0,0
ROMA,27.939333333333334,33,2022-05-26,9,19,11,29.0,11
ROMA,27.939333333333334,33,2022-05-27,9,19,11,29.273,11
ROMA,27.939333333333334,33,2022-05-28,9,19,11,25.545,11
ROMA,27.939333333333334,33,2022-05-29,0,0,0,0.0,0
ROMA,27.939333333333334,33,2022-05-30,0,0,0,0.0,0
BUCHAREST,24.841,34,2022-05-26,9,19,11,27.455,11
BUCHAREST,24.841,34,2022-05-27,9,19,11,26.091,11
BUCHAREST,24.841,34,2022-05-28,9,19,11,27.818,11
BUCHAREST,24.841,34,2022-05-29,9,9,1,18.0,1
BUCHAREST,24.841,34,2022-05-30,0,0,0,0.0,0
VOLGOGRAD,23.659,34,2022-05-26,9,19,11,22.091,11
VOLGOGRAD,23.659,34,2022-05-27,9,19,11,21.909,11
VOLGOGRAD,23.659,34,2022-05-28,9,19,11,25.636,11
VOLGOGRAD,23.659,34,2022-05-29,9,9,1,25.0,1
VOLGOGRAD,23.659,34,2022-05-30,0,0,0,0.0,0
NOVOSIBIRSK,23.20925,38,2022-05-26,9,19,11,24.909,11
NOVOSIBIRSK,23.20925,38,2022-05-27,9,19,11,22.455,11
NOVOSIBIRSK,23.20925,38,2022-05-28,9,19,11,23.273,11
NOVOSIBIRSK,23.20925,38,2022-05-29,9,13,5,22.2,5
NOVOSIBIRSK,23.20925,38,2022-05-30,0,0,0,0.0,0
PARIS,17.333333333333332,31,2022-05-26,9,19,11,17.636,9
PARIS,17.333333333333332,31,2022-05-27,9,19,11,17.364,11
PARIS,17.333333333333332,31,2022-05-28,9,19,11,17.0,11
PARIS,17.333333333333332,31,2022-05-29,0,0,0,0.0,0
PARIS,17.333333333333332,31,2022-05-30,0,0,0,0.0,0
BERLIN,16.302999999999997,15,2022-05-26,9,19,11,19.273,9
BERLIN,16.302999999999997,15,2022-05-27,9,19,11,16.0,6
BERLIN,16.302999999999997,15,2022-05-28,9,19,11,13.636,0
BERLIN,16.302999999999997,15,2022-05-29,0,0,0,0.0,0
BERLIN,16.302999999999997,15,2022-05-30,0,0,0,0.0,0
LONDON,16.090999999999998,33,2022-05-26,9,19,11,17.364,11
LONDON,16.090999999999998,33,2022-05-27,9,19,11,16.273,11
LONDON,16.090999999999998,33,2022-05-28,9,19,11,14.636,11
LONDON,16.090999999999998,33,2022-05-29,0,0,0,0.0,0
LONDON,16.090999999999998,33,2022-05-30,0,0,0,0.0,0
WARSZAWA,15.484666666666664,14,2022-05-26,9,19,11,19.636,11
WARSZAWA,15.484666666666664,14,2022-05-27,9,19,11,14.0,3
WARSZAWA,15.484666666666664,14,2022-05-28,9,19,11,12.818,0
WARSZAWA,15.484666666666664,14,2022-05-29,0,0,0,0.0,0
WARSZAWA,15.484666666666664,14,2022-05-30,0,0,0,0.0,0
MOSCOW,13.75,8,2022-05-26,9,19,11,17.727,7
MOSCOW,13.75,8,2022-05-27,9,19,11,13.091,0
MOSCOW,13.75,8,2022-05-28,9,19,11,12.182,0
MOSCOW,13.75,8,2022-05-29,9,9,1,12.0,1
MOSCOW,13.75,8,2022-05-30,0,0,0,0.0,0
KAZAN,13.749749999999999,10,2022-05-26,9,19,11,12.545,6
KAZAN,13.749749999999999,10,2022-05-27,9,19,11,13.727,0
KAZAN,13.749749999999999,10,2022-05-28,9,19,11,14.727,3
KAZAN,13.749749999999999,10,2022-05-29,9,9,1,14.0,1
KAZAN,13.749749999999999,10,2022-05-30,0,0,0,0.0,0
KALININGRAD,13.272666666666666,12,2022-05-26,9,19,11,15.364,9
KALININGRAD,13.272666666666666,12,2022-05-27,9,19,11,12.818,2
KALININGRAD,13.272666666666666,12,2022-05-28,9,19,11,11.636,1
KALININGRAD,13.272666666666666,12,2022-05-29,0,0,0,0.0,0
KALININGRAD,13.272666666666666,12,2022-05-30,0,0,0,0.0,0
SPETERSBURG,11.908999999999999,4,2022-05-26,9,19,11,12.182,3
SPETERSBURG,11.908999999999999,4,2022-05-27,9,19,11,11.818,0
SPETERSBURG,11.908999999999999,4,2022-05-28,9,19,11,11.636,0
SPETERSBURG,11.908999999999999,4,2022-05-29,9,9,1,12.0,1
SPETERSBURG,11.908999999999999,4,2022-05-30,0,0,0,0.0,0
